No.Jurnal;Tanggal;Nominal;Alasan
c6TKieNC;2026-05-12;5000000;Dobel dgn jurnal transfer sisi rek 5599 utk kejadian yg sama - pertahankan sisi 5599
6tSMQCC6;2026-05-17;5000000;Dobel dgn jurnal transfer sisi rek 5599 utk kejadian yg sama - pertahankan sisi 5599
BAFEujge;2026-06-26;16000000;Dobel dgn jurnal transfer sisi rek 5599 utk kejadian yg sama - pertahankan sisi 5599
OtgR0jyv;2026-06-30;20000000;Dobel dgn jurnal transfer sisi rek 5599 utk kejadian yg sama - pertahankan sisi 5599
zyM9e7lS;2026-07-07;94000000;Dobel dgn jurnal transfer sisi rek 5599 utk kejadian yg sama - pertahankan sisi 5599
ws8hRp1C;2026-07-23;11090000;Dobel dgn jurnal transfer sisi rek 5599 utk kejadian yg sama - pertahankan sisi 5599
